Cm C/A;Vol Sum;Desplazamiento;KC;MaestraC;KMT;MaestraF;TC (1.025);TC=1;Mu
7,6800;19768,9614;20263,1854;3,9980;-1,9994;9,8564;2,6582;29,3755;28,6590;263,0022
7,7000;19826,3180;20321,9759;4,0086;-1,9856;9,8601;2,7059;29,3962;28,6793;263,2482
7,7200;19883,7150;20380,8079;4,0193;-1,9719;9,8649;2,7536;29,4171;28,6996;263,4903
7,7400;19941,1527;20439,6815;4,0299;-1,9580;9,8708;2,8013;29,4379;28,7199;263,7283
7,7600;19998,6310;20498,5967;4,0406;-1,9441;9,8779;2,8489;29,4588;28,7403;263,9621
7,7800;20056,1500;20557,5538;4,0513;-1,9301;9,8861;2,8965;29,4798;28,7608;264,1916
7,8000;20113,7100;20616,5527;4,0619;-1,9160;9,8957;2,9440;29,5008;28,7813;264,4167
7,8200;20171,3109;20675,5937;4,0726;-1,9019;9,9065;2,9915;29,5219;28,8018;264,6373
7,8400;20228,9529;20734,6767;4,0833;-1,8877;9,9188;3,0390;29,5430;28,8224;264,8534
7,8600;20286,6360;20793,8019;4,0940;-1,8735;9,9326;3,0864;29,5641;28,8430;265,0648
7,8800;20344,3604;20852,9694;4,1047;-1,8592;9,9479;3,1337;29,5853;28,8637;265,2715
7,9000;20402,1261;20912,1793;4,1154;-1,8448;9,9648;3,1809;29,6065;28,8844;265,4733
7,9200;20459,9332;20971,4315;4,1261;-1,8304;9,9692;3,2281;29,6278;28,9051;265,8617
7,9400;20517,7818;21030,7264;4,1368;-1,8159;9,9677;3,2752;29,6491;28,9259;266,4460
7,9600;20575,6720;21090,0638;4,1475;-1,8014;9,9663;3,3222;29,6704;28,9467;267,0337
7,9800;20633,6038;21149,4439;4,1583;-1,7868;9,9651;3,3691;29,6918;28,9676;267,6248
8,0000;20691,5773;21208,8667;4,1690;-1,7721;9,9640;3,4159;29,7132;28,9884;268,2192
8,0200;20749,5925;21268,3323;4,1797;-1,7574;9,9631;3,4625;29,7346;29,0093;268,8168
8,0400;20807,6496;21327,8408;4,1905;-1,7426;9,9623;3,5091;29,7560;29,0303;269,4174
8,0600;20865,7486;21387,3923;4,2012;-1,7278;9,9617;3,5555;29,7775;29,0512;270,0209
8,0800;20923,8895;21446,9867;4,2120;-1,7129;9,9612;3,6018;29,7990;29,0722;270,6273
8,1000;20982,0724;21506,6242;4,2227;-1,6980;9,9609;3,6480;29,8205;29,0931;271,2365
8,1200;21040,2974;21566,3048;4,2335;-1,6830;9,9606;3,6940;29,8420;29,1141;271,8482
8,1400;21098,5645;21626,0286;4,2443;-1,6680;9,9606;3,7398;29,8635;29,1351;272,4625
